"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AdminaStar Federal, Inc.","Anthem","$6,000,000","$0","$6,000,000","2005","20050920","government-contracting-related offenses","False Claims Act and related","","AdminaStar Federal, Inc. agreed to pay the United States $6 million to resolve allegations that the company interfered with Medicare evaluations and overcharged the federal healthcare program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.justice.gov/archive/opa/pr/2005/September/05_civ_492.html",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2021","20210201","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California Partnership Plan, Inc.","Anthem","$10,000","$0","$10,000","2021","20210225","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California Partnership Plan, Inc.","Anthem","$5,000","$0","$5,000","2021","20210304","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2021","20210312","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2021","20210312","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2021","20210312","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,500","$0","$5,500","2021","20210312","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,500","$0","$5,500","2021","20210312","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,500","$0","$5,500","2021","20210312","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$10,000","$0","$10,000","2021","20210312","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2021","20210322","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2021","20210322","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2021","20210322","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$5,000","$0","$5,000","2021","20210322","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$6,000","$0","$6,000","2021","20210322","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Blue Cross of California","Anthem","$6,000","$0","$6,000","2021","20210322","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Anthem Health Plans, Inc.","Anthem","$15,000","$0","$15,000","2021","20210428","consumer-protection-related offenses","insurance violation","","","state","agency action","Connecticut Insurance Department","civil","","","","","","Connecticut","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.catalog.state.ct.us/cid/portalApps/images/reports/10826988.pdf",""
"Empire Healthchoice Assurance, Inc.","Anthem","$900,000","$0","$900,000","2021","20210324","consumer-protection-related offenses","insurance violation","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://www.dfs.ny.gov/system/files/documents/2021/04/da20210429.pdf",""
"Blue Cross of California d.b.a. Anthem Blue Cross","Anthem","$17,500","$0","$17,500","2021","20210716","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3993/1626817991579.pdf",""
"Blue Cross of California d.b.a. Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2021","20210716","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3992/1626817641669.pdf",""
"Blue Cross of California d.b.a. Anthem Blue Cross","Anthem","$35,000","$0","$35,000","2021","20210715","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3994/1626907847574.pdf",""
"Blue Cross of California d.b.a. Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2021","20210715","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3995/1626981646417.pdf",""
"Blue Cross of California d.b.a. Anthem Blue Cross","Anthem","$15,000","$0","$15,000","2021","20210715","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3988/1626475107309.pdf",""
"Blue Cross of California d.b.a. Anthem Blue Cross","Anthem","$5,000","$0","$5,000","2021","20210715","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/4000/1627071359225.pdf",""
"Blue Cross of California d.b.a. Anthem Blue Cross","Anthem","$70,000","$0","$70,000","2021","20210624","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","Indiana","publicly traded","ANTM","healthcare services","insurance; managed care","https://wpso.dmhc.ca.gov/enfactions/docs/3986/1625008000971.pdf",""
